사업명,기준년월,시도,시군구,수급권자수,수급가구수
기초생활보장(맞춤형급여),2025-12,전라남도,해남군,4801,3826
기초생활보장(맞춤형급여),2025-12,전라남도,영암군,2587,1994
기초생활보장(맞춤형급여),2025-12,전라남도,무안군,4121,2980
기초생활보장(맞춤형급여),2025-12,전라남도,함평군,2294,1873
기초생활보장(맞춤형급여),2025-12,전라남도,영광군,3788,2892
기초생활보장(맞춤형급여),2025-12,전라남도,장성군,2612,2054
기초생활보장(맞춤형급여),2025-12,전라남도,완도군,3456,2822
기초생활보장(맞춤형급여),2025-12,전라남도,진도군,2552,2070
기초생활보장(맞춤형급여),2025-12,전라남도,신안군,2348,1865
기초생활보장(맞춤형급여),2025-12,경상북도,포항시,475,473
기초생활보장(맞춤형급여),2025-12,경상북도,포항시남구,16404,12362
기초생활보장(맞춤형급여),2025-12,경상북도,포항시북구,17994,13340
기초생활보장(맞춤형급여),2025-12,경상북도,경주시,15494,12031
기초생활보장(맞춤형급여),2025-12,경상북도,김천시,9055,6946
기초생활보장(맞춤형급여),2025-12,경상북도,안동시,12117,9523
기초생활보장(맞춤형급여),2025-12,경상북도,구미시,17184,12421
기초생활보장(맞춤형급여),2025-12,경상북도,영주시,8207,6398
기초생활보장(맞춤형급여),2025-12,경상북도,영천시,8434,6600
기초생활보장(맞춤형급여),2025-12,경상북도,상주시,6073,4916
기초생활보장(맞춤형급여),2025-12,경상북도,문경시,3680,3072
기초생활보장(맞춤형급여),2025-12,경상북도,경산시,16304,11964
기초생활보장(맞춤형급여),2025-12,경상북도,의성군,3789,3208
기초생활보장(맞춤형급여),2025-12,경상북도,청송군,1653,1391
기초생활보장(맞춤형급여),2025-12,경상북도,영양군,1277,993
기초생활보장(맞춤형급여),2025-12,경상북도,영덕군,3283,2697
기초생활보장(맞춤형급여),2025-12,경상북도,청도군,2708,2269
기초생활보장(맞춤형급여),2025-12,경상북도,고령군,2670,2062
기초생활보장(맞춤형급여),2025-12,경상북도,성주군,2725,2199
기초생활보장(맞춤형급여),2025-12,경상북도,칠곡군,7364,5267
기초생활보장(맞춤형급여),2025-12,경상북도,예천군,3206,2518
기초생활보장(맞춤형급여),2025-12,경상북도,봉화군,1780,1478
기초생활보장(맞춤형급여),2025-12,경상북도,울진군,3648,3016
기초생활보장(맞춤형급여),2025-12,경상북도,울릉군,318,256
기초생활보장(맞춤형급여),2025-12,경상남도,창원시,146,146
기초생활보장(맞춤형급여),2025-12,경상남도,창원시의창구,12029,8817
기초생활보장(맞춤형급여),2025-12,경상남도,창원시성산구,6418,4681
기초생활보장(맞춤형급여),2025-12,경상남도,창원시마산합포구,12659,9973
기초생활보장(맞춤형급여),2025-12,경상남도,창원시마산회원구,11596,9023
기초생활보장(맞춤형급여),2025-12,경상남도,창원시진해구,10931,8061
기초생활보장(맞춤형급여),2025-12,경상남도,진주시,19318,14528
기초생활보장(맞춤형급여),2025-12,경상남도,통영시,11319,8248
기초생활보장(맞춤형급여),2025-12,경상남도,사천시,7441,5690
기초생활보장(맞춤형급여),2025-12,경상남도,김해시,32010,22390
기초생활보장(맞춤형급여),2025-12,경상남도,밀양시,7425,5850
기초생활보장(맞춤형급여),2025-12,경상남도,거제시,11681,8308
기초생활보장(맞춤형급여),2025-12,경상남도,양산시,20274,14877
기초생활보장(맞춤형급여),2025-12,경상남도,의령군,2213,1861
기초생활보장(맞춤형급여),2025-12,경상남도,함안군,3903,3042
기초생활보장(맞춤형급여),2025-12,경상남도,창녕군,4313,3423
기초생활보장(맞춤형급여),2025-12,경상남도,고성군,3785,3027
기초생활보장(맞춤형급여),2025-12,경상남도,남해군,2891,2316
기초생활보장(맞춤형급여),2025-12,경상남도,하동군,3333,2634
기초생활보장(맞춤형급여),2025-12,경상남도,산청군,2383,1958
기초생활보장(맞춤형급여),2025-12,경상남도,함양군,3009,2408
기초생활보장(맞춤형급여),2025-12,경상남도,거창군,4139,3161
기초생활보장(맞춤형급여),2025-12,경상남도,합천군,2808,2320
기초생활보장(맞춤형급여),2025-12,제주특별자치도,제주시,28866,20004
기초생활보장(맞춤형급여),2025-12,제주특별자치도,서귀포시,11417,8157
기초생활보장(맞춤형급여),2025-12,강원특별자치도,춘천시,18553,13825
기초생활보장(맞춤형급여),2025-12,강원특별자치도,원주시,20272,15148
기초생활보장(맞춤형급여),2025-12,강원특별자치도,강릉시,14236,11051
기초생활보장(맞춤형급여),2025-12,강원특별자치도,동해시,6114,4693
기초생활보장(맞춤형급여),2025-12,강원특별자치도,태백시,2833,2254
기초생활보장(맞춤형급여),2025-12,강원특별자치도,속초시,6167,4718
기초생활보장(맞춤형급여),2025-12,강원특별자치도,삼척시,4431,3518
기초생활보장(맞춤형급여),2025-12,강원특별자치도,홍천군,3384,2658
기초생활보장(맞춤형급여),2025-12,강원특별자치도,횡성군,2189,1747
기초생활보장(맞춤형급여),2025-12,강원특별자치도,영월군,1974,1599
기초생활보장(맞춤형급여),2025-12,강원특별자치도,평창군,1555,1272
기초생활보장(맞춤형급여),2025-12,강원특별자치도,정선군,1884,1607
기초생활보장(맞춤형급여),2025-12,강원특별자치도,철원군,2102,1671
기초생활보장(맞춤형급여),2025-12,강원특별자치도,화천군,1271,1040
기초생활보장(맞춤형급여),2025-12,강원특별자치도,양구군,1162,907
기초생활보장(맞춤형급여),2025-12,강원특별자치도,인제군,1439,1135
기초생활보장(맞춤형급여),2025-12,강원특별자치도,고성군,1631,1293
기초생활보장(맞춤형급여),2025-12,강원특별자치도,양양군,1808,1492
기초생활보장(맞춤형급여),2025-12,전북특별자치도,전주시,803,797
기초생활보장(맞춤형급여),2025-12,전북특별자치도,전주시 완산구,25480,17478
기초생활보장(맞춤형급여),2025-12,전북특별자치도,전주시 덕진구,19077,12983
기초생활보장(맞춤형급여),2025-12,전북특별자치도,군산시,20955,15364
기초생활보장(맞춤형급여),2025-12,전북특별자치도,익산시,24924,18038
기초생활보장(맞춤형급여),2025-12,전북특별자치도,정읍시,9524,7202
기초생활보장(맞춤형급여),2025-12,전북특별자치도,남원시,7155,5338
기초생활보장(맞춤형급여),2025-12,전북특별자치도,김제시,8717,6617
기초생활보장(맞춤형급여),2025-12,전북특별자치도,완주군,7707,5452
기초생활보장(맞춤형급여),2025-12,전북특별자치도,진안군,1798,1383
기초생활보장(맞춤형급여),2025-12,전북특별자치도,무주군,1515,1181
기초생활보장(맞춤형급여),2025-12,전북특별자치도,장수군,1439,1058
기초생활보장(맞춤형급여),2025-12,전북특별자치도,임실군,2250,1751
기초생활보장(맞춤형급여),2025-12,전북특별자치도,순창군,2036,1542
기초생활보장(맞춤형급여),2025-12,전북특별자치도,고창군,4100,3240
기초생활보장(맞춤형급여),2025-12,전북특별자치도,부안군,3790,3008
기초생계급여,2025-12,서울특별시,종로구,4872,4365
기초생계급여,2025-12,서울특별시,중구,4292,3822
기초생계급여,2025-12,서울특별시,용산구,6599,5536
기초생계급여,2025-12,서울특별시,성동구,7407,6110
기초생계급여,2025-12,서울특별시,광진구,9873,8045
기초생계급여,2025-12,서울특별시,동대문구,12457,10525
기초생계급여,2025-12,서울특별시,중랑구,20857,17011
기초생계급여,2025-12,서울특별시,성북구,13635,10871
기초생계급여,2025-12,서울특별시,강북구,19130,15343
기초생계급여,2025-12,서울특별시,도봉구,13286,10526
기초생계급여,2025-12,서울특별시,노원구,23803,18631
기초생계급여,2025-12,서울특별시,은평구,19810,15832
기초생계급여,2025-12,서울특별시,서대문구,8198,6797
기초생계급여,2025-12,서울특별시,마포구,8743,6956
기초생계급여,2025-12,서울특별시,양천구,12728,10340
기초생계급여,2025-12,서울특별시,강서구,24546,19652
기초생계급여,2025-12,서울특별시,구로구,11947,9533
기초생계급여,2025-12,서울특별시,금천구,11613,9536
기초생계급여,2025-12,서울특별시,영등포구,9758,8688
기초생계급여,2025-12,서울특별시,동작구,8942,7509
기초생계급여,2025-12,서울특별시,관악구,18639,15489
기초생계급여,2025-12,서울특별시,서초구,5026,3985
기초생계급여,2025-12,서울특별시,강남구,12359,9640
기초생계급여,2025-12,서울특별시,송파구,13111,10428
기초생계급여,2025-12,서울특별시,강동구,13621,11241
기초생계급여,2025-12,부산광역시,중구,3895,3304
기초생계급여,2025-12,부산광역시,서구,7925,6579
기초생계급여,2025-12,부산광역시,동구,8095,6504
기초생계급여,2025-12,부산광역시,영도구,10565,8553
기초생계급여,2025-12,부산광역시,부산진구,18921,15272
기초생계급여,2025-12,부산광역시,동래구,9756,7961
기초생계급여,2025-12,부산광역시,남구,9702,7811
기초생계급여,2025-12,부산광역시,북구,18518,14527
기초생계급여,2025-12,부산광역시,해운대구,17303,13615
기초생계급여,2025-12,부산광역시,사하구,21232,16604
기초생계급여,2025-12,부산광역시,금정구,10120,8427
기초생계급여,2025-12,부산광역시,강서구,3414,2531
기초생계급여,2025-12,부산광역시,연제구,9534,7760
기초생계급여,2025-12,부산광역시,수영구,7669,6186
기초생계급여,2025-12,부산광역시,사상구,13545,10916
기초생계급여,2025-12,부산광역시,기장군,8136,6106
기초생계급여,2025-12,대구광역시,중구,3307,2695
기초생계급여,2025-12,대구광역시,동구,17414,14228
기초생계급여,2025-12,대구광역시,서구,13654,10956
기초생계급여,2025-12,대구광역시,남구,11827,9631
기초생계급여,2025-12,대구광역시,북구,16889,13426
기초생계급여,2025-12,대구광역시,수성구,15834,12405
기초생계급여,2025-12,대구광역시,달서구,25468,20185
기초생계급여,2025-12,대구광역시,달성군,10471,7609
기초생계급여,2025-12,대구광역시,군위군,1031,846
기초생계급여,2025-12,인천광역시,중구,6409,5073
기초생계급여,2025-12,인천광역시,동구,2790,2324
기초생계급여,2025-12,인천광역시,미추홀구,23858,18168
기초생계급여,2025-12,인천광역시,연수구,8894,6974
기초생계급여,2025-12,인천광역시,남동구,27301,20760
기초생계급여,2025-12,인천광역시,부평구,22945,18069
기초생계급여,2025-12,인천광역시,계양구,12146,9519
기초생계급여,2025-12,인천광역시,서구,20957,15843
기초생계급여,2025-12,인천광역시,강화군,3468,2839
기초생계급여,2025-12,인천광역시,옹진군,508,458
기초생계급여,2025-12,광주광역시,동구,5420,4417
기초생계급여,2025-12,광주광역시,서구,12472,9457
기초생계급여,2025-12,광주광역시,남구,9485,7233
기초생계급여,2025-12,광주광역시,북구,24108,18055
기초생계급여,2025-12,광주광역시,광산구,16529,11352
기초생계급여,2025-12,대전광역시,동구,14302,11456
기초생계급여,2025-12,대전광역시,중구,11497,9141
기초생계급여,2025-12,대전광역시,서구,15483,11870
기초생계급여,2025-12,대전광역시,유성구,8151,6295
기초생계급여,2025-12,대전광역시,대덕구,9438,7308
기초생계급여,2025-12,울산광역시,중구,6464,5452
기초생계급여,2025-12,울산광역시,남구,7816,6624
기초생계급여,2025-12,울산광역시,동구,4306,3276
기초생계급여,2025-12,울산광역시,북구,3908,2970
기초생계급여,2025-12,울산광역시,울주군,6030,5051
기초생계급여,2025-12,세종특별자치시,세종특별자치시,5382,4177
기초생계급여,2025-12,경기도,수원시,203,203
기초생계급여,2025-12,경기도,수원시장안구,5788,4831
기초생계급여,2025-12,경기도,수원시권선구,7662,6359
기초생계급여,2025-12,경기도,수원시팔달구,6226,5323
기초생계급여,2025-12,경기도,수원시영통구,2579,2196
기초생계급여,2025-12,경기도,성남시,503,503
기초생계급여,2025-12,경기도,성남시수정구,9809,8151
기초생계급여,2025-12,경기도,성남시중원구,7020,5733
기초생계급여,2025-12,경기도,성남시분당구,5630,4467
기초생계급여,2025-12,경기도,의정부시,17694,14404
기초생계급여,2025-12,경기도,안양시,406,406
기초생계급여,2025-12,경기도,안양시만안구,6207,5204
기초생계급여,2025-12,경기도,안양시동안구,3382,2793
기초생계급여,2025-12,경기도,부천시,113,113
기초생계급여,2025-12,경기도,부천시 원미구,10564,8799
기초생계급여,2025-12,경기도,부천시 소사구,6529,5414
기초생계급여,2025-12,경기도,부천시 오정구,5604,4403
기초생계급여,2025-12,경기도,광명시,5917,4775
기초생계급여,2025-12,경기도,평택시,13579,10887
기초생계급여,2025-12,경기도,동두천시,5768,4696
기초생계급여,2025-12,경기도,안산시,874,873
